sample_id,manifest_order,file_name,pdf_page,content_type,route_hypothesis,selected_route,selected_parser,selected_profile,decision_status,quality_status,anchor_result,table_assertion_result,decision_reasons,selected_artifact
M2-P011,3,T_CECS_758-2020城镇排水管道混接调查及治理技术规程.pdf,44,form_table,native_candidate,native,pymupdf,native_text_and_blocks,approved,pass,0/0,not_applicable,native_quality_gate_passed,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P012,3,T_CECS_758-2020城镇排水管道混接调查及治理技术规程.pdf,63,clause_and_figure,native_candidate,native,pymupdf,native_text_and_blocks,needs_manual_review,pass,0/1,not_applicable,native_anchor_or_quality_gate_requires_review,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P013,3,T_CECS_758-2020城镇排水管道混接调查及治理技术规程.pdf,67,clause_and_table,native_candidate,native,pymupdf,native_text_and_blocks,needs_manual_review,pass,0/2,not_applicable,native_anchor_or_quality_gate_requires_review,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P014,4,《城乡排水工程项目规范》 (GB 55027-2022).pdf,4,clauses,hybrid_candidate,hybrid_ocr,paddleocr-ppstructurev3,text_layout_light,approved,pass,0/1,not_applicable,ocr_quality_and_evidence_gates_passed|known_exact_match_false_negative_waived,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P015,4,《城乡排水工程项目规范》 (GB 55027-2022).pdf,9,sparse_clause,hybrid_candidate,docling_recovery,docling-rapidocr-pypdfium,full_page_ocr_tableformer_accurate,needs_manual_review,review,0/1,not_applicable,docling_recovers_missing_clause_words|watermark_and_header_noise_remain,data/eval_results/m2-docling-2.126.0-v1-pages.jsonl
M2-P016,4,《城乡排水工程项目规范》 (GB 55027-2022).pdf,13,clause_and_table,hybrid_candidate,hybrid_ocr,paddleocr-ppstructurev3,table_structure_heavy,needs_manual_review,review,0/1,0/1,ocr_low_confidence_gate|approved_anchor_content_error_or_unresolved_miss|table_assertion_failed,data/eval_results/m2-ocr-routed-heavy-v1-pages.jsonl
M2-P017,4,《城乡排水工程项目规范》 (GB 55027-2022).pdf,20,clauses,hybrid_candidate,hybrid_ocr,paddleocr-ppstructurev3,text_layout_light,needs_manual_review,review,1/1,not_applicable,ocr_low_confidence_gate,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P018,5,住房城乡建设部等5部门关于加强城市生活污水管网建设和运行维护的通知_国务院部门文件_中国政府网.pdf,1,policy_header,native_candidate,native,pymupdf,native_text_and_blocks,approved,pass,1/1,not_applicable,native_quality_gate_passed,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P019,5,住房城乡建设部等5部门关于加强城市生活污水管网建设和运行维护的通知_国务院部门文件_中国政府网.pdf,4,policy_body,native_candidate,native,pymupdf,native_text_and_blocks,approved,pass,1/1,not_applicable,native_quality_gate_passed,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P020,5,住房城乡建设部等5部门关于加强城市生活污水管网建设和运行维护的通知_国务院部门文件_中国政府网.pdf,5,policy_metadata,native_candidate,native,pymupdf,native_text_and_blocks,needs_manual_review,pass,0/1,not_applicable,native_anchor_or_quality_gate_requires_review,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P021,6,城镇污水管网入流入渗监测与评估标准TCECS1764-2024(1).pdf,7,toc,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,text_layout_light,needs_manual_review,review,0/0,not_applicable,ocr_low_confidence_gate,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P022,6,城镇污水管网入流入渗监测与评估标准TCECS1764-2024(1).pdf,12,flowchart,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,text_layout_light,needs_manual_review,pass,0/0,not_applicable,mandatory_visual_structure_review,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P023,6,城镇污水管网入流入渗监测与评估标准TCECS1764-2024(1).pdf,14,clause_and_table,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,table_structure_heavy,needs_manual_review,review,0/1,not_applicable,ocr_low_confidence_gate,data/eval_results/m2-ocr-routed-heavy-v1-pages.jsonl
M2-P024,6,城镇污水管网入流入渗监测与评估标准TCECS1764-2024(1).pdf,19,formula,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,text_layout_light,quarantine,review,0/1,not_applicable,formula_structure_not_reliably_recovered,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P025,6,城镇污水管网入流入渗监测与评估标准TCECS1764-2024(1).pdf,39,clause_and_tables,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,table_structure_heavy,approved,pass,0/0,not_applicable,ocr_quality_and_evidence_gates_passed,data/eval_results/m2-ocr-routed-heavy-v1-pages.jsonl
M2-P026,6,城镇污水管网入流入渗监测与评估标准TCECS1764-2024(1).pdf,43,tables,full_ocr_candidate,docling_recovery,docling-rapidocr-pypdfium,full_page_ocr_tableformer_accurate,needs_manual_review,review,0/1,2/3,docling_recovers_two_tables_and_units|orphan_cell_row_fallback_requires_review,data/eval_results/m2-docling-2.126.0-v1-pages.jsonl
M2-P027,6,城镇污水管网入流入渗监测与评估标准TCECS1764-2024(1).pdf,44,clause_and_table,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,table_structure_heavy,needs_manual_review,pass,0/1,not_applicable,approved_anchor_content_error_or_unresolved_miss,data/eval_results/m2-ocr-routed-heavy-v1-pages.jsonl
M2-P028,7,武汉市排水管道混错接改造技术规程.pdf,2,blank,blank_skip_candidate,skip_blank,none,visual_blank,skip_blank,not_applicable,not_applicable,not_applicable,human_selected_visual_blank,data/registry/m2-page-sample-v0.csv
M2-P029,7,武汉市排水管道混错接改造技术规程.pdf,7,clause_and_flowchart,native_candidate,native,pymupdf,native_text_and_blocks,approved,pass,1/1,not_applicable,native_quality_gate_passed,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P030,7,武汉市排水管道混错接改造技术规程.pdf,10,clause_and_flowchart,native_candidate,native,pymupdf,native_text_and_blocks,needs_manual_review,pass,0/1,not_applicable,native_anchor_or_quality_gate_requires_review,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P031,7,武汉市排水管道混错接改造技术规程.pdf,13,clause_and_tables,native_candidate,native,pymupdf,native_text_and_blocks,needs_manual_review,pass,0/1,not_applicable,native_anchor_or_quality_gate_requires_review,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P032,7,武汉市排水管道混错接改造技术规程.pdf,18,dense_clauses,native_candidate,native,pymupdf,native_text_and_blocks,approved,pass,0/0,not_applicable,native_quality_gate_passed,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P033,7,武汉市排水管道混错接改造技术规程.pdf,23,form_table,native_candidate,native,pymupdf,native_text_and_blocks,approved,pass,0/0,not_applicable,native_quality_gate_passed,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P034,8,附件：重庆市城市排水管网雨污分流效果评价技术导则（试行）.pdf,6,toc,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,text_layout_light,approved,pass,0/0,not_applicable,ocr_quality_and_evidence_gates_passed,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P035,8,附件：重庆市城市排水管网雨污分流效果评价技术导则（试行）.pdf,10,clauses,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,text_layout_light,needs_manual_review,review,1/1,not_applicable,ocr_low_confidence_gate,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P036,8,附件：重庆市城市排水管网雨污分流效果评价技术导则（试行）.pdf,15,tables,full_ocr_candidate,docling_recovery,docling-rapidocr-pypdfium,full_page_ocr_tableformer_accurate,approved,pass,0/1,9/10,target_table_selected_by_land_parcel_prefix|table_assertions_10_of_10_passed,data/eval_results/m2-docling-2.126.0-v1-pages.jsonl
M2-P037,8,附件：重庆市城市排水管网雨污分流效果评价技术导则（试行）.pdf,16,tables,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,table_structure_heavy,approved,pass,0/0,not_applicable,ocr_quality_and_evidence_gates_passed,data/eval_results/m2-ocr-routed-heavy-v1-pages.jsonl
M2-P038,8,附件：重庆市城市排水管网雨污分流效果评价技术导则（试行）.pdf,19,clauses_and_values,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,text_layout_light,approved,pass,0/0,not_applicable,ocr_quality_and_evidence_gates_passed,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P039,8,附件：重庆市城市排水管网雨污分流效果评价技术导则（试行）.pdf,34,clause_and_figure,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,text_layout_light,needs_manual_review,review,0/0,not_applicable,ocr_low_confidence_gate|mandatory_visual_structure_review,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P040,8,附件：重庆市城市排水管网雨污分流效果评价技术导则（试行）.pdf,38,dense_clauses,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,text_layout_light,approved,pass,0/1,not_applicable,ocr_quality_and_evidence_gates_passed|known_exact_match_false_negative_waived,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
